"MXFLL376","Motel 6 Dania Beach","825 E Dania Beach Blvd","Dania Beach","FL","33004","85.99","RAC","N2D","No","Non-smoking","Double","2","20190103"
"MXPPM371","Motel 6 Pompano Beach","1201 Nw 31st Ave","Pompano Beach","FL","33069","85.99","RAC","U1D","No","Suite","Double","1","20190103"
"MXFLL055","Motel 6 Ft Lauderdale","1801 Sr 84","Ft Lauderdale","FL","33315","95.99","RAC","UD1","No","Suite","Other","Unknown","20190103"
"OZFLL500","Super 8 Pompano Beach","Us Hwy 1 & 10th Street","Pompano Beach","FL","33062","98.99","AAA","QQ1","No","unknown","Other","Unknown","20190103"
"MSFLL046","Plantation Inn Hotel And Lounge","375 N. State Rd. 7","Plantation","FL","33317","89.96","SEN","N2D","No","Non-smoking","Double","2","20190103"
"SCFLL798","Sawgrass Inn Conference Ctr","1711 N University Drive","Plantation","FL","33322","99.0","BAR","F1K","No","Room with shower - Moderate","King","1","20190103"
"LQFLLLKW","La Quinta Inn Ste Ft Lauderdale Tamarac","5070 North State Road 7","Ft Lauderdale","FL","33319","119.0","RAC","C1D","No","Room with bath - Standard","Double","1","20190103"
"OZFLL564","Super 8 Dania Ft. Lauderdale","333 South Federal Highway","Dania","FL","33004","107.1","AR1","H1Q","No","Room with shower - Minimum","Queen","1","20190103"
"LQHWO985","La Quinta Inn Ste Ft Lauderdale Airport","2620 N 26th Avenue","Hollywood","FL","33020","139.0","RAC","H2D","No","Room with shower - Minimum","Double","2","20190103"
"EAFLLPLN","Extended Stay America Davie","7550 State Road 84","Davie","FL","33317","139.49","PRO","I1K","No","Room with bath/shower - Superior","King","1","20190103"
"EAFLLFLD","Extended Stay America Tamarac","3873 West Commercial Blvd","Tamarac","FL","33309","143.99","PRO","U3D","No","Suite","Double","3","20190103"
"LQFLLLKP","La Quinta Inn Ste Plantation Sw 6th St","7901 Southwest 6th Street","Plantation","FL","33324","145.0","RAC","H1K","No","Room with shower - Minimum","King","1","20190103"
"LQFLL942","La Quinta Inn Ste Cypress Creek","999 West Cypress Creek Road","Ft Lauderdale","FL","33309","149.0","RAC","C2D","No","Room with bath - Standard","Double","2","20190103"
"PWFLL664","B Ocean Resort","1140 Seabreeze Blvd","Ft Lauderdale","FL","33316","149.25","AA1","FKN","No","Room with shower - Moderate","Other","Unknown","20190103"
"EAFLL387","Extended Stay America Cyp Cr","6001 Nw 6th Way","Ft Lauderdale","FL","33309","154.99","PRO","A05","No","Room with bath - Superior","Other","0","20190103"
"LQFLLDAE","La Quinta Inn Ft Lauderdale Northeast","5727 North Federal Hwy","Fort Lauderdale","FL","33308","155.0","RAC","A2D","No","Room with bath - Superior","Double","2","20190103"
"LQFLL982","La Quinta Inn Ste Plantation","8101 Peters Road","Plantation","FL","33324","139.0","RAC","C2D","No","Room with bath - Standard","Double","2","20190103"
"XTFLL7C8","Sawgrass Grand Hotel","3003 North University Drive","Sunrise","FL","33322","160.3","ADV","S1K","No","Suite","King","1","20190103"
"BWFLL401","Best Western Ft Lauderdale I95","4800 Nw 9th Ave","Fort Lauderdale","FL","33309 3808","144.5","DB6","A1K","No","Room with bath - Superior","King","1","20190103"
"TOFLLTCT","Towneplace Stes West Marriott","3100 Prospect Road","Ft Lauderdale","FL","33309","169.0","S9R","XMI","No","unknown","Other","Unknown","20190103"
