"MXPDXF01","Motel 6 Vancouver Wa","221 Ne Chkalov Drive","Vancouver","WA","98684","57.99","RAC","N1Q","No","Non-smoking","Queen","1","20181004"
"MXPDX070","Motel 6 Portland Central","3104-06 Se Powell Blvd","Portland","OR","97202","79.99","RAC","U1Q","No","Suite","Queen","1","20181004"
"OZPDX888","Super 8 Portland Airport","11011 Ne Holman","Portland","OR","97220-1208","94.5","AAA","PNQ","No","Executive suite","Queen","Unknown","20181004"
"EAPDXBVR","Extended Stay America Beaverto","875 Sw 158th Avenue","Beaverton","OR","97006","103.49","PRO","A0D","No","Room with bath - Superior","Double","0","20181004"
"BWPDX014","Best Western Inn Of Vancouver","11506 Ne Third Street","Vancouver","WA","98684","94.49","SRS","A1Q","No","Room with bath - Superior","Queen","1","20181004"
"YXPDX485","Park Lane Suites And Inn","809 Sw King Ave","Portland","OR","97205","107.0","ARP","C1Q","No","Room with bath - Standard","Queen","1","20181004"
"BWPDX142","Best Western Plus Northwind","16105 Sw Pacific Highway","Tigard","OR","97224","107.99","SRS","S1K","No","Suite","King","1","20181004"
"MXPDXD95","Motel 6 Portland North","1125 N Schmeer Rd","Portland","OR","97217","99.99","RAC","QSF","No","unknown","Other","Unknown","20181004"
"RLPDX287","Red Lion Portland Airport","7101 Ne 82nd Ave.","Portland","OR","97220","104.0","ADV","N2Q","No","Non-smoking","Queen","2","20181004"
"HXPDXGD2","Hampton Inn Portland Clackamas","9040 Se Adams","Clackamas","OR","97015","128.25","RAC","A2Q","No","Room with bath - Superior","Queen","2","20181004"
"BWPDX106","Best Western Inn At Meadows","1215 N Hayden Meadows Drive","Portland","OR","97217","113.51","DB6","C1K","No","Room with bath - Standard","King","1","20181004"
"FNPDXFIF","Fairfield Inn N Stes Marriott","11929 Ne Airport Way","Portland","OR","97220","135.0","S9R","XMI","No","unknown","Other","Unknown","20181004"
"FNPDXXFH","Fairfield Inn N Stes Marriott","15583 Nw Gateway Court Cornell","Beaverton","OR","97006","135.0","S9R","XMI","No","unknown","Other","Unknown","20181004"
"CXPDX605","Country Inn & Suites","9930 North Whitaker Rd.","Portland","OR","97217","118.15","PRO","O2D","No","unknown","Double","2","20181004"
"LQPDX265","La Quinta Inn Ste Portland Airport","11207 Ne Holman St","Portland","OR","97220","144.0","RAC","C1D","No","Room with bath - Standard","Double","1","20181004"
"BWPDX169","Best Western Plus Portland Airport","11938 Ne Airport Way","Portland","OR","97220","126.65","DB6","W1K","No","Room at weekend rate","King","1","20181004"
"GIPDX157","Hilton Grdn Inn Pdx Lake Oswe","14850 Kruse Oaks Drive","Lake Oswego","OR","97035","146.28","PRO","C2Q","No","Room with bath - Standard","Queen","2","20181004"
"XVPDXVSS","Springhill Suites Portland Vancouver","1421 Se Tech Center Dr","Vancouver","WA","98683","161.0","S9R","XMI","No","unknown","Other","Unknown","20181004"
"FNPDXPFF","Fairfield Inn N Stes Marriott","1200 North Anchor Way","Portland","OR","97217","161.0","S9R","XMI","No","unknown","Other","Unknown","20181004"
"FNPDXOWF","Fairfield Inn N Stes Marriott","6100 Sw Meadows Road","Lake Oswego","OR","97035","144.0","S9R","XMI","No","unknown","Other","Unknown","20181004"
