"LQAUS530","La Quinta Inn Austin University Area","5812 I-35 North","Austin","TX","78751","69.0","RAC","C2D","No","Room with bath - Standard","Double","2","20181228"
"MXAUS113","Motel 6 Austin South Airport","2707 Interregional Hwy S","Austin","TX","78741","73.99","RAC","UD1","No","Suite","Other","Unknown","20181228"
"OZAUS181","Super 8 Austin University-dwtn","5526 N Ih-35","Austin","TX","78751","76.5","AAA","PNQ","No","Executive suite","Queen","Unknown","20181228"
"RCAUSRAR","Residence Inn Airport Marriott","3201 Caseybridge Court","Austin","TX","78744","84.0","RAC","XMI","No","unknown","Other","Unknown","20181228"
"XVAUSSTS","Springhill Stes South Marriott","4501 S Ih-35","Austin","TX","78744","84.15","S9R","XMI","No","unknown","Other","Unknown","20181228"
"MCAUSAPM","Austin Marriott South","4415 South Ih-35","Austin","TX","78744","87.2","RAC","APN","No","Room with bath - Superior","Other","Unknown","20181228"
"RCAUSRIR","Residence Inn Nwest Marriott","3713 Tudor Blvd","Austin","TX","78759","87.96","RAC","APN","No","Room with bath - Superior","Other","Unknown","20181228"
"OMAUSSTH","Omni Austin At Southpark Hotel","4140 Governors Row","Austin","TX","78744","88.0","AR1","DKA","No","Room with bath - Minimum","Other","Unknown","20181228"
"LQAUS478","La Quinta Inn Austin South I-35","4200 I-35 South","Austin","TX","78745 1202","89.0","RAC","C2D","No","Room with bath - Standard","Double","2","20181228"
"OZAUS079","Super 8 Austin North-universit","8128 N. Interstate 35","Austin","TX","78753","89.1","AAA","QQ1","No","unknown","Other","Unknown","20181228"
"RCAUSRSR","Residence Inn South Marriott","4537 South Ih 35","Austin","TX","78744","89.1","RAC","APN","No","Room with bath - Superior","Other","Unknown","20181228"
"XVAUSSNS","Springhill Stes Nwest Marriott","10936 Stonlake Boulevard","Austin","TX","78759","93.0","RAC","XMI","No","unknown","Other","Unknown","20181228"
"DIAUS310","Days Inn Austin University Dwt","3105 N I-35","Austin","TX","78722","96.04","SP1","H1K","No","Room with shower - Minimum","King","1","20181228"
"LQAUS522","La Quinta Inn Austin Oltorf","1603 East Oltorf","Austin","TX","78741","99.0","RAC","A07","No","Room with bath - Superior","Other","0","20181228"
"HYAUSADW","Hyatt Place Austin Downtown","211 East 3rd Street","Austin","TX","78749","99.75","***","KNG","No","Room with bath/shower - Minimum","Other","Unknown","20181228"
"OZAUS887","Super 8 Austin Downtown","1201 North I-35","Austin","TX","78702","103.5","AAA","NQ1","No","Non-smoking","Other","Unknown","20181228"
"HYAUSAAA","Hyatt Place Austin Arboretum","3612 Tudor Blvd","Austin","TX","78759","103.55","***","KNG","No","Room with bath/shower - Minimum","Other","Unknown","20181228"
"LQAUS177","La Quinta Inn Ste Austin Sw","4424 South Mopac Expressway","Austin","TX","78735","105.0","RAC","H2D","No","Room with shower - Minimum","Double","2","20181228"
"TOAUSTST","Towneplace Stes Tech Marriott","12427 Tech Ridge Boulevar","Austin","TX","78753","118.0","S9R","XMI","No","unknown","Other","Unknown","20181228"
"LQAUS186","La Quinta Inn Ste Austin Airport","7625 E Ben White Blvd","Austin","TX","78741","135.0","RAC","C2D","No","Room with bath - Standard","Double","2","20181228"
